"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/COROP-gebieden/Code (code)";"Lokaliseringen van gemeenten/COROP-gebieden/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)";"Lokaliseringen van gemeenten/Jeugdregio's/Code (code)";"Lokaliseringen van gemeenten/Jeugdregio's/Naam (naam)";"Lokaliseringen van gemeenten/Toeristengebieden/Code (code)";"Lokaliseringen van gemeenten/Toeristengebieden/Naam (naam)";"Lokaliseringen van gemeenten/Veiligheidsregio's/Code (code)";"Lokaliseringen van gemeenten/Veiligheidsregio's/Naam (naam)"
"Echt-Susteren";"GM1711    ";"Echt-Susteren                                     ";"CR38      ";"Midden-Limburg                                    ";"GG6011    ";"GGD Limburg-Noord                                 ";"JZ42      ";"Midden-Limburg Oost                               ";"TR14      ";"O.-Brabant, N.- en M.-Limburg, Nijmegen           ";"VR23      ";"Limburg-Noord                                     "
"Edam-Volendam";"GM0385    ";"Edam-Volendam                                     ";"CR23      ";"Groot-Amsterdam                                   ";"GG7306    ";"GGD Zaanstreek/Waterland                          ";"JZ09      ";"Zaanstreek-Waterland                              ";"TR03      ";"IJsselmeerkust                                    ";"VR11      ";"Zaanstreek-Waterland                              "
"Ede";"GM0228    ";"Ede                                               ";"CR13      ";"Veluwe                                            ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden";"JZ21      ";"Food Valley                                       ";"TR08      ";"Veluwe en Veluwerand                              ";"VR07      ";"Gelderland-Midden                                 "
"Eemnes";"GM0317    ";"Eemnes                                            ";"CR17      ";"Utrecht                                           ";"GG2514    ";"GGD Regio Utrecht                                 ";"JZ20      ";"Eemland                                           ";"TR03      ";"IJsselmeerkust                                    ";"VR09      ";"Utrecht                                           "
"Eemsdelta";"GM1979    ";"Eemsdelta                                         ";"CR02      ";"Delfzijl en omgeving                              ";"GG0111    ";"GGD Groningen                                     ";"JZ01      ";"Groningen                                         ";"TR17      ";"Overig Nederland                                  ";"VR01      ";"Groningen                                         "
"Eersel";"GM0770    ";"Eersel                                            ";"CR36      ";"Zuidoost-Noord-Brabant                            ";"GG5608    ";"GGD Brabant-Zuidoost                              ";"JZ39      ";"Zuidoost-Brabant                                  ";"TR13      ";"West- en Midden-Brabant                           ";"VR22      ";"Brabant-Zuidoost                                  "
"Eijsden-Margraten";"GM1903    ";"Eijsden-Margraten                                 ";"CR39      ";"Zuid-Limburg                                      ";"GG6106    ";"GGD Zuid-Limburg                                  ";"JZ41      ";"Zuid-Limburg                                      ";"TR15      ";"Zuid-Limburg                                      ";"VR24      ";"Limburg-Zuid                                      "
"Eindhoven";"GM0772    ";"Eindhoven                                         ";"CR36      ";"Zuidoost-Noord-Brabant                            ";"GG5608    ";"GGD Brabant-Zuidoost                              ";"JZ39      ";"Zuidoost-Brabant                                  ";"TR13      ";"West- en Midden-Brabant                           ";"VR22      ";"Brabant-Zuidoost                                  "
"Elburg";"GM0230    ";"Elburg                                            ";"CR13      ";"Veluwe                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"JZ12      ";"Noord-Veluwe                                      ";"TR03      ";"IJsselmeerkust                                    ";"VR06      ";"Noord- en Oost-Gelderland                         "
"Emmen";"GM0114    ";"Emmen                                             ";"CR08      ";"Zuidoost-Drenthe                                  ";"GG0706    ";"GGD Drenthe                                       ";"JZ04      ";"Drenthe                                           ";"TR12      ";"Groningse, Friese en Drentse Zandgronden          ";"VR03      ";"Drenthe                                           "
"Enkhuizen";"GM0388    ";"Enkhuizen                                         ";"CR18      ";"Kop van Noord-Holland                             ";"GG2707    ";"GGD Hollands-Noorden                              ";"JZ05      ";"West Friesland                                    ";"TR03      ";"IJsselmeerkust                                    ";"VR10      ";"Noord-Holland-Noord                               "
"Enschede";"GM0153    ";"Enschede                                          ";"CR12      ";"Twente                                            ";"GG1106    ";"GGD Twente                                        ";"JZ14      ";"Twente                                            ";"TR11      ";"Twente, Salland en Vechtstreek                    ";"VR05      ";"Twente                                            "
"Epe";"GM0232    ";"Epe                                               ";"CR13      ";"Veluwe                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"JZ17      ";"Midden IJssel / Oost Veluwe                       ";"TR08      ";"Veluwe en Veluwerand                              ";"VR06      ";"Noord- en Oost-Gelderland                         "
"Ermelo";"GM0233    ";"Ermelo                                            ";"CR13      ";"Veluwe                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"JZ12      ";"Noord-Veluwe                                      ";"TR08      ";"Veluwe en Veluwerand                              ";"VR06      ";"Noord- en Oost-Gelderland                         "
"Etten-Leur";"GM0777    ";"Etten-Leur                                        ";"CR33      ";"West-Noord-Brabant                                ";"GG5206    ";"GGD West-Brabant                                  ";"JZ36      ";"West Brabant West                                 ";"TR13      ";"West- en Midden-Brabant                           ";"VR20      ";"Midden- en West-Brabant                           "
"De Fryske Marren";"GM1940    ";"De Fryske Marren                                  ";"CR05      ";"Zuidwest-Friesland                                ";"GG7206    ";"GGD Fryslân                                       ";"JZ02      ";"Friesland (Fryslân)                               ";"TR05      ";"Meren in Gron., Friesl., N.W.-Overijssel          ";"VR02      ";"Fryslân                                           "
"Geertruidenberg";"GM0779    ";"Geertruidenberg                                   ";"CR33      ";"West-Noord-Brabant                                ";"GG5206    ";"GGD West-Brabant                                  ";"JZ34      ";"West Brabant Oost                                 ";"TR13      ";"West- en Midden-Brabant                           ";"VR20      ";"Midden- en West-Brabant                           "
"Geldrop-Mierlo";"GM1771    ";"Geldrop-Mierlo                                    ";"CR36      ";"Zuidoost-Noord-Brabant                            ";"GG5608    ";"GGD Brabant-Zuidoost                              ";"JZ39      ";"Zuidoost-Brabant                                  ";"TR13      ";"West- en Midden-Brabant                           ";"VR22      ";"Brabant-Zuidoost                                  "
